Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util,Misses
10000,174547.21,844.1717684559904,1200.0,2250.0,18.959400000000006,0.2085225167697721,5.486000000000004,
30000,536366.48,1249.0277377982175,1900.0,2730.0,21.848000000000003,0.12361229712289962,10.255999999999986,
50000,884811.77,1498.582492533227,2330.0,3340.0,22.243999999999996,0.12332072007574402,14.831999999999994,
70000,1241892.0799999998,1536.4908162640363,2430.0,3280.0,23.787399999999995,0.07110021097015122,21.732,
90000,1636115.7699999998,1738.475298733901,2620.0,3340.0,24.809599999999993,0.06390492938733291,30.92800000000001,
100000,1748862.0799999996,1651.7722973956213,2480.0,3380.0,25.332800000000006,0.09633358708155723,30.896000000000015,
200000,3582818.9699999997,1986.3170119385236,2750.0,3310.0,30.98560000000001,0.2863994413402372,72.452,
300000,5232648.899999999,1436.0499606084813,1980.0,2330.0,42.21940000000001,0.33761167041439755,75.8,
