Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util,Misses
10000,12044.190000000002,85746.02885115898,114170.0,135170.0,25.772800000000004,0.6667744446212676,55.086000000000006,
30000,32021.06,77562.02731792296,111610.0,133120.0,56.3252,0.12725156187646566,99.006,
50000,51985.72000000001,75336.73881732064,107520.0,138240.0,56.901199999999996,0.10230620704532029,99.908,
70000,71961.33,77165.37488331615,112130.0,142340.0,57.16260000000001,0.05932318265231538,100.0,
90000,92476.33,76118.04415837381,112130.0,142340.0,57.288399999999996,0.07728803270882209,100.0,
100000,99916.17000000003,75806.20975005483,112130.0,143360.0,57.38600000000001,0.09469952481401392,100.0,
200000,198760.69,73257.13613236717,108030.0,139260.0,58.05780000000001,0.13460000000000022,100.0,
300000,295208.45999999996,74192.82263496032,109060.0,139260.0,58.002599999999994,0.09965560696719493,100.0,
