Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util,Misses
10000,10208.310000000001,1393.6189057129702,2029.9999999999998,8890.0,17.814600000000006,0.7766085500430704,9.016000000000034,
100000,98416.72,1823.5285129003855,2500.0,6460.0,24.0812,1.463474823835381,15.240000000000023,
200000,197420.97,3431.8248707177577,5500.0,7710.0,26.4634,1.054299027790503,16.160000000000025,
30000,30003.86,1321.5248955512973,2140.0,4860.0,20.261200000000006,0.49767716443493787,11.914000000000016,
300000,300041.38,7364.811884063925,9980.0,11580.0,29.9624,2.720342301990689,17.059999999999988,
50000,50409.0,1762.2846985323276,2850.0,6170.0,22.184000000000005,1.4575074613874193,13.861999999999995,
70000,70220.4,1604.1875580183503,2400.0,5860.0,22.706400000000002,1.2916435421585946,14.882000000000005,
90000,90009.54999999999,1775.612207042097,3060.0,5890.0,24.5522,1.5541483712953534,15.007999999999996,
