Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util,Misses
10000,197171.56000000003,787.436561345722,1100.0,2480.0,20.45480000000001,0.15551514395710753,5.334000000000017,
30000,606035.4399999998,1464.7514593015237,2330.0,3310.0,21.4544,0.09575301561830842,10.918000000000035,
50000,983124.7400000002,1466.1454992316499,2290.0,3290.0,22.0462,0.11084926702509151,15.472000000000023,
70000,1379798.7000000002,1604.9571054770838,2480.0,3280.0,24.141400000000008,0.0788925852029201,24.933999999999983,
90000,1758214.5799999998,1733.600373751434,2620.0,3380.0,25.17519999999999,0.08579603720452363,33.380000000000024,
100000,1975518.92,1706.0265982490835,2580.0,3460.0,25.863599999999998,0.05894946988735341,35.772000000000006,
200000,3975663.6900000004,2077.433414720878,2800.0,3380.0,32.581199999999995,0.29266800303415486,83.768,
300000,5843011.27,1437.2228188135082,1920.0,2290.0,45.5642,0.26359886190953113,84.894,
