Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util,Misses
10000,9924.810000000001,389.46224717290255,450.0,1490.0,15.308800000000002,0.2899630321265107,0.7339999999999947,
30000,29690.339999999997,411.30075591081476,480.0,1110.0,16.607999999999997,0.24619504462925315,1.775999999999982,
50000,49296.45999999999,459.349224151393,570.0,1090.0,16.294400000000003,0.13911376639283418,2.331999999999951,
70000,70312.72,500.7488503253793,610.0,1090.0,17.291600000000003,0.15627360621678882,3.3780000000000143,
90000,88348.71,548.2945080215845,680.0,1090.0,17.037200000000002,0.1601754038546492,2.36399999999999,
100000,99870.27,545.3891256955063,680.0,1030.0,17.481600000000004,0.1846765821646048,3.342000000000027,
200000,196770.94999999995,810.1293900569791,1010.0,1340.0,17.189800000000005,0.21794026704581212,2.165999999999997,
300000,297999.67999999993,1085.1347072523886,1370.0,1730.0,17.819000000000006,0.11558979193683179,5.5020000000000095,
