Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util,Misses
10000,10249.25,679.7791755540521,900.0,4350.0,15.455400000000003,0.20646752771319743,2.056000000000026,
30000,30088.519999999997,554.4632258393215,750.0,2640.0,19.0748,0.14000342852944692,5.568000000000012,
50000,49934.99,625.0088168118781,860.0,3090.0,17.920800000000003,0.3139798719663413,4.844000000000008,
70000,69146.25000000001,645.0195749036428,870.0,2860.0,18.0622,0.21631726699456974,4.616,
90000,90262.01,635.0526339691949,850.0,2590.0,19.663999999999998,0.14545102268461363,5.533999999999992,
100000,99872.62,693.5349059153684,970.0,2690.0,18.642200000000006,0.12002149807430341,5.685999999999979,
200000,197179.82,894.5018803774709,1300.0,2480.0,19.264600000000005,0.11560640120685339,5.697999999999979,
300000,294481.74000000005,1082.9915467677793,1580.0,2530.0,19.8076,0.13460401182728568,6.762000000000029,
