Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util,Misses
10000,10209.79,1595.254644476977,2380.0,9340.0,17.415200000000002,0.5956114169490038,8.130000000000024,
30000,30003.82,1280.014389184399,2110.0,5180.0,21.973000000000003,1.1831808821984913,13.563999999999979,
50000,50409.57,2357.7616521221744,3730.0,7360.0,23.837799999999994,1.511837676471915,14.580000000000013,
70000,70214.99,2391.0288243390764,3600.0,7740.0,23.674200000000006,1.9265420732493748,14.573999999999998,
90000,90012.98999999999,1349.6747288852014,2130.0,5210.0,22.963,1.4541874019534071,14.799999999999997,
100000,98421.98,1858.2721868746214,2540.0,6590.0,24.37120000000001,1.4172475295445042,15.202000000000027,
200000,197428.32,2526.86977009166,3790.0,6170.0,24.6122,1.6739883990040074,16.329999999999984,
300000,300037.11,4214.52889425747,6660.0,8890.0,28.261599999999994,2.2838882284385105,16.877999999999986,
