Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,21,0,0
50000,50009.2,122.09231985146496,124.931335,174.045563,28.161632653061222,0.7438591570843442,13.800000000000011
75000,74941.9,118.92337628668153,118.017197,168.085098,32.93416666666667,1.2446820209729608,15.012499999999989
100000,99982.4,133.0682815214297,135.89859,212.907791,31.537755102040816,0.6774746775898786,24.026530612244898
125000,125033.9,124.94413020010909,128.030777,202.65817651999876,35.137142857142855,0.46344722820762824,27.022448979591843
150000,149951.6,119.69626001037842,122.070312,184.059143,38.883199999999995,0.4632909783410911,27.530000000000015
175000,175045.7,117.28138021618433,121.831894,177.86026,41.916000000000004,0.4850499658671831,26.97800000000001
200000,200018.8,114.54238612006849,124.931335,195.50323500000002,43.953599999999994,0.20991504598435107,32.17599999999999
225000,225032.5,119.78125867222224,127.792358,209.10024656000147,45.3656,0.20259701631664753,36.17
250000,249979.5,122.06312398323,136.852264,249.99141672000022,46.64900000000001,0.24600688558473724,37.711999999999996
300000,299899.1,132.29197211381828,149.965286,358.819962,48.89539999999999,0.2897726765615287,31.901999999999987
325000,324986.1,141.3042153587798,151.157379,355.005264,50.15440000000002,0.26059711652828615,37.355999999999995
350000,350095.4,134.69418413803697,152.826309,341.892242,51.169200000000004,0.29738204658763995,50.602
375000,375098.8,144.79479337115873,164.031982,461.101532,52.0176,0.2292450787311451,59.372
400000,399981.9,159.03856364946813,169.992447,571.012497,52.8962,0.22006390537518755,63.77
425000,424971.3,163.4751398124647,191.926956,810.1391794300004,53.496,0.18449047317917996,67.27199999999999
450000,450013.5,197.56129741930522,236.034393,1221.7140201200014,54.137800000000006,0.3891922037099035,70.32600000000001
475000,475069.4,228.74861695125657,265.12146,1839.8976326700044,54.5866,0.3816163796595866,72.72
500000,499925.4,393.72002075996267,573.4443664000011,5836.877822619997,54.89480000000001,0.24234601675442208,74.22200000000001
525000,525116.1,760.2145190918285,1605.0338745,12679.505348050023,54.9608,0.21130150621945962,75.554
550000,549849.5,1187.2390300722293,3094.911575,16532.85026568,55.407,0.2707001504036736,76.892
